***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,19.43,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,38.67,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,69,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2438,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:1:18,,,,,,,,,,,,,,
Total Measurement Time in sec:,4.121,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,11min 53sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.3479049,99968.0,4487
905.7543059416729,1.3001264,108993.0,5461
909.6634166320162,1.3113112,118185.0,5771
913.5682143400267,1.3025949,129285.0,6441
917.4686990657044,1.294138,143347.0,7282
921.3648708090495,1.311321,160437.0,7834
925.2567295700619,1.3229204,180387.0,8576
929.1442753487415,1.3327469,201426.0,9362
933.0275081450884,1.3461857,220694.0,9945
936.9064279591028,1.3318318,237501.0,11062
942.0716119608264,1.3047916,256956.0,12737
945.9404681493976,1.3181751,270636.0,13008
949.8050113556362,1.3272246,283621.0,13351
953.665241579542,1.3100164,296982.0,14545
957.5211588211151,1.313008,310733.0,15114
961.3727630803554,1.3139403,324587.0,15754
965.2200543572632,1.3169445,339205.0,16350
969.0630326518381,1.3190688,353669.0,16964
972.9016979640804,1.3131962,368253.0,17904
976.7360502939899,1.3235269,382531.0,18161
981.841810983574,1.3226963,399901.0,19022
985.6660996880405,1.3176026,411528.0,19806
989.4860754101744,1.334637,422199.0,19538
993.3017381499756,1.3266628,431172.0,20323
997.113087907444,1.3376162,438051.0,20133
1000.9201246825796,1.3277805,444216.0,20884
1004.7228484753826,1.3212374,449307.0,21444
1008.5212592858529,1.3353657,453601.0,20956
1012.3153571139904,1.3382322,456801.0,20965
1016.1051419597953,1.3375578,459312.0,21113
1021.1514793372398,1.33707,461643.0,21244
1024.9312005576016,1.3451256,463069.0,20918
1028.706608795631,1.3535403,463868.0,20552
1032.4777040513272,1.3525765,464326.0,20618
1036.244486324691,1.3551314,466001.0,20571
1040.006955615722,1.356934,466870.0,20524
1043.7651119244206,1.3629011,467033.0,20251
1047.518955250786,1.3579651,467045.0,20483
1051.268485594819,1.3636262,467467.0,20236
1055.013702956519,1.3505436,467627.0,20862
1060.000617021824,1.355168,468351.0,20673
1063.7357707580811,1.3620576,469050.0,20378
1067.4666115120056,1.3598307,469880.0,20519
1071.1931392835975,1.3618375,471228.0,20483
1074.9153540728564,1.3598506,472558.0,20635
1078.6332558797828,1.3644433,474087.0,20484
1082.3468447043765,1.3604593,476569.0,20781
1086.0561205466374,1.3658397,479445.0,20649
1089.7610834065654,1.3668358,481756.0,20701
1093.4617332841608,1.362745,485147.0,21044
1098.3892240373264,1.3639709,489755.0,21184
1102.0798102894787,1.3700658,493535.0,21050
1105.7660835592987,1.3668021,497426.0,21376
1109.4480438467858,1.3667984,501308.0,21543
1113.1256911519401,1.3756776,505725.0,21293
1116.7990254747617,1.371639,509421.0,21649
1120.4680468152505,1.3750839,513217.0,21638
1124.1327551734068,1.3680607,517470.0,22173
1127.7931505492302,1.3711574,521690.0,22195
1131.4492329427212,1.3803062,526099.0,21916
1136.317300383747,1.3841467,531329.0,21939
1139.9633191517948,1.3822702,535549.0,22209
1143.6050249375098,1.3858081,539808.0,22204
1147.2424177408923,1.3879158,543900.0,22264
1150.8754975619418,1.3869307,547908.0,22479
1154.504264400659,1.4033375,552170.0,21814
1158.1287182570431,1.4085984,556773.0,21731
1161.7488591310948,1.4259105,561098.0,21044
1165.3646870228135,1.4363903,565898.0,20718
1168.9762019321997,1.4341282,571300.0,21025
1172.583403859253,1.4331903,576602.0,21266
1177.3862973450289,1.4408684,584320.0,21173
1180.9834356466395,1.4558027,589396.0,20635
1184.576260965917,1.4615043,596143.0,20599
1188.1647733028622,1.4642936,602955.0,20701
1191.7489726574743,1.4801549,609704.0,20182
1195.3288590297539,1.4897975,617215.0,19982
1198.9044324197007,1.5102476,624471.0,19287
1202.4756928273148,1.529014,632472.0,18708
1206.0426402525964,1.5497929,640381.0,18057
1209.605274695545,1.5588784,648161.0,17898
1214.3487448691812,1.5645845,659999.0,17987
1217.9013156866872,1.5602599,668609.0,18404
