***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,21.89,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,40.87,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,61,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2475,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:2:55,,,,,,,,,,,,,,
Total Measurement Time in sec:,4.475,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,12min 26sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.327486,99968.0,4703
905.7543059416729,1.3049245,108993.0,5401
909.6634166320162,1.3031112,118185.0,5881
913.5682143400267,1.3100072,129285.0,6332
917.4686990657044,1.3307678,143347.0,6693
921.3648708090495,1.3386629,160437.0,7356
925.2567295700619,1.3130571,180387.0,8773
929.1442753487415,1.3275821,201426.0,9474
933.0275081450884,1.363151,220694.0,9564
936.9064279591028,1.347501,237501.0,10670
942.0716119608264,1.3327817,256956.0,11942
945.9404681493976,1.3401915,270636.0,12365
949.8050113556362,1.3334165,283621.0,13162
953.665241579542,1.3358828,296982.0,13704
957.5211588211151,1.3344171,310733.0,14387
961.3727630803554,1.3438957,324587.0,14704
965.2200543572632,1.3409438,339205.0,15471
969.0630326518381,1.3352917,353669.0,16342
972.9016979640804,1.3388253,368253.0,16878
976.7360502939899,1.3478205,382531.0,17173
981.841810983574,1.3524362,399901.0,17763
985.6660996880405,1.3476504,411528.0,18482
989.4860754101744,1.3572435,422199.0,18547
993.3017381499756,1.3597772,431172.0,18831
997.113087907444,1.3595828,438051.0,19140
1000.9201246825796,1.3596358,444216.0,19407
1004.7228484753826,1.3611743,449307.0,19560
1008.5212592858529,1.3615029,453601.0,19732
1012.3153571139904,1.3753414,456801.0,19248
1016.1051419597953,1.3772486,459312.0,19269
1021.1514793372398,1.372671,461643.0,19572
1024.9312005576016,1.3793689,463069.0,19332
1028.706608795631,1.3839989,463868.0,19160
1032.4777040513272,1.386609,464326.0,19064
1036.244486324691,1.3780406,466001.0,19514
1040.006955615722,1.3839087,466870.0,19288
1043.7651119244206,1.4047894,467033.0,18389
1047.518955250786,1.3934027,467045.0,18878
1051.268485594819,1.4015944,467467.0,18542
1055.013702956519,1.4050581,467627.0,18401
1060.000617021824,1.3996133,468351.0,18662
1063.7357707580811,1.3994937,469050.0,18695
1067.4666115120056,1.4003776,469880.0,18690
1071.1931392835975,1.4083897,471228.0,18401
1074.9153540728564,1.4041957,472558.0,18632
1078.6332558797828,1.4095323,474087.0,18464
1082.3468447043765,1.4012276,476569.0,18919
1086.0561205466374,1.4127462,479445.0,18535
1089.7610834065654,1.411241,481756.0,18689
1093.4617332841608,1.4175763,485147.0,18548
1098.3892240373264,1.4125072,489755.0,18944
