***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,30.22,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,36.76,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,54,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2614,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:16:14,,,,,,,,,,,,,,
Total Measurement Time in sec:,4.981,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,14min 0sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.2733783,99968.0,5327
905.7543059416729,1.2371628,108993.0,6313
909.6634166320162,1.2521639,118185.0,6613
913.5682143400267,1.24261,129285.0,7395
917.4686990657044,1.2573893,143347.0,7925
921.3648708090495,1.2670851,160437.0,8674
925.2567295700619,1.2662662,180387.0,9771
929.1442753487415,1.2507682,201426.0,11307
933.0275081450884,1.2605029,220694.0,12114
936.9064279591028,1.2649075,237501.0,12905
942.0716119608264,1.2539158,256956.0,14320
945.9404681493976,1.2521163,270636.0,15145
949.8050113556362,1.2502773,283621.0,15939
953.665241579542,1.2404966,296982.0,17070
957.5211588211151,1.242065,310733.0,17796
961.3727630803554,1.2455231,324587.0,18442
965.2200543572632,1.241699,339205.0,19443
969.0630326518381,1.2369703,353669.0,20494
972.9016979640804,1.2359152,368253.0,21391
976.7360502939899,1.2372537,382531.0,22152
981.841810983574,1.2385473,399901.0,23089
985.6660996880405,1.2383702,411528.0,23770
989.4860754101744,1.2434281,422199.0,24104
993.3017381499756,1.2365022,431172.0,25012
997.113087907444,1.2443149,438051.0,24958
1000.9201246825796,1.2366315,444216.0,25761
1004.7228484753826,1.2415973,449307.0,25760
1008.5212592858529,1.2454417,453601.0,25777
1012.3153571139904,1.2417905,456801.0,26178
1016.1051419597953,1.2408988,459312.0,26376
1021.1514793372398,1.2429491,461643.0,26385
1024.9312005576016,1.2533364,463069.0,25841
1028.706608795631,1.2512708,463868.0,26009
1032.4777040513272,1.2523677,464326.0,25969
1036.244486324691,1.2517962,466001.0,26097
1040.006955615722,1.250729,466870.0,26210
1043.7651119244206,1.2452995,467033.0,26549
1047.518955250786,1.2559416,467045.0,25907
1051.268485594819,1.2644387,467467.0,25428
1055.013702956519,1.2538419,467627.0,26065
1060.000617021824,1.246998,468351.0,26520
1063.7357707580811,1.2468929,469050.0,26566
1067.4666115120056,1.2595936,469880.0,25846
1071.1931392835975,1.2528627,471228.0,26325
1074.9153540728564,1.2482204,472558.0,26683
1078.6332558797828,1.2562988,474087.0,26276
1082.3468447043765,1.2525101,476569.0,26645
1086.0561205466374,1.2554003,479445.0,26628
1089.7610834065654,1.2562996,481756.0,26701
1093.4617332841608,1.2558144,485147.0,26919
1098.3892240373264,1.2535459,489755.0,27317
