***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,26.16,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,39.03,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,57,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2543,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:8:58,,,,,,,,,,,,,,
Total Measurement Time in sec:,5.062,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,13min 5sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.6276857,99968.0,2356
905.7543059416729,1.6251061,108993.0,2584
909.6634166320162,1.6059912,118185.0,2928
913.5682143400267,1.6306792,129285.0,3026
917.4686990657044,1.6130657,143347.0,3494
921.3648708090495,1.6100289,160437.0,3938
925.2567295700619,1.5997237,180387.0,4534
929.1442753487415,1.6256882,201426.0,4769
933.0275081450884,1.6193508,220694.0,5302
936.9064279591028,1.5914049,237501.0,6085
942.0716119608264,1.5760744,256956.0,6820
945.9404681493976,1.5509439,270636.0,7611
949.8050113556362,1.5734705,283621.0,7573
953.665241579542,1.5970902,296982.0,7510
957.5211588211151,1.5768293,310733.0,8233
961.3727630803554,1.5904255,324587.0,8335
965.2200543572632,1.5607203,339205.0,9327
969.0630326518381,1.5604395,353669.0,9731
972.9016979640804,1.591911,368253.0,9424
976.7360502939899,1.5827535,382531.0,9998
981.841810983574,1.5838348,399901.0,10426
985.6660996880405,1.5745889,411528.0,10960
989.4860754101744,1.6056535,422199.0,10468
993.3017381499756,1.5790429,431172.0,11366
997.113087907444,1.5872564,438051.0,11331
1000.9201246825796,1.5856519,444216.0,11533
1004.7228484753826,1.58936,449307.0,11566
1008.5212592858529,1.5832123,453601.0,11843
1012.3153571139904,1.5872566,456801.0,11816
1016.1051419597953,1.5866703,459312.0,11897
1021.1514793372398,1.5930135,461643.0,11784
1024.9312005576016,1.5748941,463069.0,12324
1028.706608795631,1.5921999,463868.0,11863
1032.4777040513272,1.5750858,464326.0,12352
1036.244486324691,1.5822407,466001.0,12194
1040.006955615722,1.5839411,466870.0,12169
1043.7651119244206,1.5821342,467033.0,12224
1047.518955250786,1.5953839,467045.0,11857
1051.268485594819,1.5971702,467467.0,11819
1055.013702956519,1.5889846,467627.0,12048
1060.000617021824,1.5847102,468351.0,12186
1063.7357707580811,1.6001476,469050.0,11778
1067.4666115120056,1.6074166,469880.0,11603
1071.1931392835975,1.5977206,471228.0,11899
1074.9153540728564,1.5942256,472558.0,12029
1078.6332558797828,1.592033,474087.0,12129
1082.3468447043765,1.5985105,476569.0,12012
1086.0561205466374,1.5918235,479445.0,12272
1089.7610834065654,1.5814582,481756.0,12629
1093.4617332841608,1.5905994,485147.0,12453
1098.3892240373264,1.5915083,489755.0,12545
1102.0798102894787,1.59419,493535.0,12564
1105.7660835592987,1.5800543,497426.0,13082
1109.4480438467858,1.5892457,501308.0,12908
1113.1256911519401,1.6031994,505725.0,12610
1116.7990254747617,1.5957807,509421.0,12921
1120.4680468152505,1.6092073,513217.0,12621
1124.1327551734068,1.5993075,517470.0,13019
1127.7931505492302,1.6177319,521690.0,12580
1131.4492329427212,1.5891602,526099.0,13549
1136.317300383747,1.6069996,531329.0,13133
1139.9633191517948,1.6073378,535549.0,13227
1143.6050249375098,1.6192993,539808.0,12970
1147.2424177408923,1.6156037,543900.0,13180
1150.8754975619418,1.6260356,547908.0,12962
1154.504264400659,1.6438792,552170.0,12537
1158.1287182570431,1.644206,556773.0,12632
1161.7488591310948,1.6527894,561098.0,12481
1165.3646870228135,1.6399992,565898.0,12964
1168.9762019321997,1.6462072,571300.0,12902
1172.583403859253,1.664279,576602.0,12491
1177.3862973450289,1.677877,584320.0,12268
1180.9834356466395,1.6806433,589396.0,12296
1184.576260965917,1.7061635,596143.0,11727
1188.1647733028622,1.7041544,602955.0,11916
1191.7489726574743,1.7248368,609704.0,11489
1195.3288590297539,1.7141602,617215.0,11920
1198.9044324197007,1.7183261,624471.0,11945
1202.4756928273148,1.7142545,632472.0,12212
1206.0426402525964,1.6946049,640381.0,12937
1209.605274695545,1.7117262,648161.0,12588
1214.3487448691812,1.7145784,659999.0,12734
1217.9013156866872,1.7089299,668609.0,13069
1221.4495735218602,1.6946988,677405.0,13682
1224.9935183747004,1.6948328,686281.0,13857
1228.533150245208,1.6816543,695317.0,14472
1232.068469133383,1.6628634,704063.0,15302
1235.5994750392251,1.661168,713007.0,15557
1239.1261679627346,1.6535257,721330.0,16018
1242.648547903911,1.6429973,730030.0,16609
1246.1666148627553,1.6421962,737591.0,16812
1250.850661724252,1.6345614,746809.0,17324
1254.358665057653,1.63118,753336.0,17612
1257.8623554087212,1.6306821,759907.0,17786
1261.3617327774568,1.6348462,766538.0,17770
1264.85679716386,1.6261468,774802.0,18325
1268.34754856793,1.6311201,784025.0,18332
1271.8339869896677,1.6245316,794336.0,18857
1275.3161124290723,1.6198506,804198.0,19298
1278.7939248861444,1.6362636,813836.0,18805
1282.2674243608838,1.6204106,823595.0,19738
1286.8920479102408,1.6303633,834533.0,19547
1290.3554837595373,1.6351095,842581.0,19521
1293.8146066265008,1.624205,849301.0,20177
1297.2694165111318,1.6232615,856026.0,20381
1300.71991341343,1.624089,862498.0,20496
1304.1660973333956,1.627245,868068.0,20479
